,Movie Title,Release Year,Runtime,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Ranking,Release Date,Production Budget,Domestic Gross,Worldwide Gross
165,Captain America: Civil War,2016,147,7.8,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,2016-04-22,250000000,408084349,1151899586
166,The Hateful Eight,2015,168,7.8,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2015-12-25,62000000,54117416,151813358
167,Little Women,2019,135,7.8,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2019-12-25,42000000,108095955,218838386
168,Big Hero 6,2014,102,7.8,Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,2014-10-25,165000000,222527828,647263005
169,About Time,2013,123,7.8,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2013-09-04,12000000,15323921,84429086
170,Toy Story 4,2019,100,7.8,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2019-06-20,200000000,434038008,1071177215
171,Moonrise Kingdom,2012,94,7.8,Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2012-05-16,16000000,45512466,68848446
172,How to Train Your Dragon 2,2014,102,7.8,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,2014-06-05,145000000,177002924,614586270
173,The Big Short,2015,130,7.8,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015-12-11,28000000,70259870,132624681
174,The Girl with the Dragon Tattoo,2011,158,7.8,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,589,2011-12-20,90000000,102515793,239373970
175,Captain Phillips,2013,134,7.8,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2013-10-11,55000000,107136417,220648184
176,Straight Outta Compton,2015,147,7.8,F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2015-08-14,28000000,161197785,202182981
177,The Hobbit: The Desolation of Smaug,2013,161,7.8,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,2013-12-12,250000000,258241522,959358436
178,Män som hatar kvinnor,2009,152,7.8,Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2009-05-29,13000000,12749992,109421911
179,The Trial of the Chicago 7,2020,129,7.8,Aaron Sorkin,Eddie Redmayne,Alex Sharp,Sacha Baron Cohen,Jeremy Strong,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,2020-10-02,35000000,0,116473
180,Taken,2008,90,7.8,Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2008-04-09,25000000,145000989,226941585
181,The Boy in the Striped Pyjamas,2008,94,7.8,Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,2008-11-07,12500000,9046156,44083403
